year,open_id,classification,base_first_year,base_last_year,nearest_base_year_before,nearest_base_year_after,base_school_types,base_regions,base_branch_types,orphan_school_types,dataset_count,datasets,dataset_orphan_key_occurrences,affected_row_count
2009,6084552049,before_base_first_seen,2010,2025,,2010,전문대학,서울,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,267
2009,6125592529,before_base_first_seen,2010,2025,,2010,대학원,대전|서울,본교|본교(제1캠퍼스)|본교(제2캠퍼스)|제2캠퍼스,대학원,3,0502 전체교원대비전임교원현황|0601 국내외학술지게재논문실적|1014 연구비수혜실적,3,17
2009,6566148042,open_id_absent_all_years,,,,,,,,대학원,1,0502 전체교원대비전임교원현황,1,4
2009,7065451979,before_base_first_seen,2010,2025,,2010,전문대학,울산,본교|본교(제1캠퍼스),전문대학,7,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,7,98
2009,7264348506,before_base_first_seen,2010,2025,,2010,전문대학,인천,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,426
2009,7876808941,before_base_first_seen,2010,2025,,2010,전문대학,경기,본교|본교(제1캠퍼스),전문대학,7,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1016 장학금수혜현황|1207 기숙사수용현황,7,54
2009,8106570184,before_base_first_seen,2010,2025,,2010,전문대학,경기|전북,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,178
2009,8648494422,before_base_first_seen,2010,2025,,2010,전문대학,충남,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,145
2009,8686164438,before_base_first_seen,2010,2010,,2010,전문대학,경남,본교,전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,107
2009,8721071779,before_base_first_seen,2010,2025,,2010,전문대학,충북,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,81
2009,8851398706,before_base_first_seen,2010,2025,,2010,전문대학,전북,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,100
2009,9020533442,before_base_first_seen,2010,2025,,2010,전문대학,전남,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,94
2009,9837188839,before_base_first_seen,2010,2025,,2010,대학,대전,본교|본교(제1캠퍼스)|본교(제2캠퍼스)|제2캠퍼스,대학,9,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0502 전체교원대비전임교원현황|0503 전임교원1인당학생현황|0601 국내외학술지게재논문실적|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,9,194
2009,9896320283,before_base_first_seen,2010,2025,,2010,전문대학,서울,본교|본교(제1캠퍼스),전문대학,6,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1016 장학금수혜현황,6,75
2011,8862205862,before_base_first_seen,2014,2025,,2014,대학,대구,본교|본교(제1캠퍼스),대학,2,0503 전임교원1인당학생현황|1207 기숙사수용현황,2,6
2012,3695307314,after_base_last_seen,2009,2011,2011,,대학원,전남,본교,,1,0001 학생인적취업정보,1,20
2012,6218328833,after_base_last_seen,2009,2011,2011,,대학,전남,본교,대학,2,0001 학생인적취업정보|0316 중도탈락학생현황,2,181
2012,8631307899,after_base_last_seen,2009,2011,2011,,전문대학,전남,본교,,1,0001 학생인적취업정보,1,1265
2012,8862205862,before_base_first_seen,2014,2025,,2014,대학,대구,본교|본교(제1캠퍼스),대학,2,0503 전임교원1인당학생현황|1207 기숙사수용현황,2,6
2013,1674881875,after_base_last_seen,2010,2012,2012,,전문대학,전북,본교,전문대학,1,0316 중도탈락학생현황,1,2
2013,8862205862,before_base_first_seen,2014,2025,,2014,대학,대구,본교|본교(제1캠퍼스),대학,2,0503 전임교원1인당학생현황|1207 기숙사수용현황,2,6
2014,1673513412,before_base_first_seen,2015,2022,,2015,대학원,경남,본교,대학원,1,0502 전체교원대비전임교원현황,1,1
2014,5400147795,after_base_last_seen,2009,2013,2013,,대학,대구,본교,대학,1,1016 장학금수혜현황,1,6
2014,5533828556,before_base_first_seen,2015,2025,,2015,대학원,경북,본교|본교(제1캠퍼스),대학원,1,0502 전체교원대비전임교원현황,1,1
2014,6681864976,after_base_last_seen,2009,2013,2013,,대학,충남,본교,대학,1,1016 장학금수혜현황,1,20
2015,5831784427,internal_base_gap,2010,2025,2014,2020,전문대학,인천,본교|본교(제1캠퍼스),전문대학,2,0316 중도탈락학생현황|1016 장학금수혜현황,2,2
2015,5918260991,after_base_last_seen,2009,2013,2013,,대학원,부산,본교,대학원,1,0502 전체교원대비전임교원현황,1,1
2015,6367777764,after_base_last_seen,2009,2013,2013,,대학원,부산,본교,대학원,1,0502 전체교원대비전임교원현황,1,1
2015,7058584451,after_base_last_seen,2009,2013,2013,,대학원,부산,본교,대학원,1,0502 전체교원대비전임교원현황,1,1
2015,8203220367,after_base_last_seen,2009,2014,2014,,전문대학,경기,본교,전문대학,2,0316 중도탈락학생현황|1016 장학금수혜현황,2,2
2015,9749850749,after_base_last_seen,2009,2014,2014,,전문대학,전북,본교,전문대학,2,0316 중도탈락학생현황|1016 장학금수혜현황,2,46
2016,1355671644,after_base_last_seen,2009,2015,2015,,대학,광주,본교,대학,1,0316 중도탈락학생현황,1,119
2016,1640844106,after_base_last_seen,2009,2015,2015,,전문대학,경기,본교,전문대학,1,0316 중도탈락학생현황,1,62
2016,2190562844,after_base_last_seen,2009,2015,2015,,전문대학,인천,본교,전문대학,1,0316 중도탈락학생현황,1,30
2016,4574799895,after_base_last_seen,2009,2015,2015,,전문대학,경북,본교,전문대학,2,0001 학생인적취업정보|0316 중도탈락학생현황,2,58
2016,6531755685,after_base_last_seen,2009,2015,2015,,전문대학,경기,본교,,1,0001 학생인적취업정보,1,1
2016,6924725592,after_base_last_seen,2009,2015,2015,,전문대학,인천,본교,전문대학,1,0316 중도탈락학생현황,1,93
2016,7410582542,after_base_last_seen,2009,2015,2015,,대학,부산,본교,대학,2,0001 학생인적취업정보|0316 중도탈락학생현황,2,110
