academyinfo_school_id,school_name_2023,school_name_2024,school_full_name_2023,school_full_name_2024,school_division_2023,school_division_2024,school_kind_2023,school_kind_2024,branch_2023,branch_2024,region_2023,region_2024,academyinfo_enrollment_2023,academyinfo_enrollment_2024,edss_exact_open_id_count_2023,edss_exact_open_id_count_2024,edss_exact_open_ids_2023,edss_exact_open_ids_2024,candidate_open_id,candidate_method,resolution_status
0000483,삼육보건대학교,삼육보건대학교,삼육보건대학교 _ 본교,삼육보건대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,서울,서울,1542,1598,1,1,7960869371,7960869371,7960869371,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000485,상지영서대학교,상지영서대학교,상지영서대학교 _ 본교,상지영서대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,298,271,1,1,3177766501,3177766501,3177766501,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000489,서울예술대학교,서울예술대학교,서울예술대학교 _ 본교,서울예술대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,4152,4122,1,1,5663107812,5663107812,5663107812,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000490,서일대학교,서일대학교,서일대학교 _ 본교,서일대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,서울,서울,8536,8562,1,0,5967965006,,,,unresolved_two_year_exact_match_not_unique
0000493,성심외국어대학,성심외국어대학,성심외국어대학 _ 본교,성심외국어대학 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,부산,부산,1239,1239,1,1,6579098820,6579098820,6579098820,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000496,수원여자대학교,수원여자대학교,수원여자대학교 _ 본교,수원여자대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,4131,4024,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000497,수원과학대학교,수원과학대학교,수원과학대학교 _ 본교,수원과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,4915,4121,1,1,7960820555,7960820555,7960820555,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000498,순천제일대학교,순천제일대학교,순천제일대학교 _ 본교,순천제일대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전남광주,전남광주,3173,3165,1,1,7951230585,7951230585,7951230585,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000500,숭의여자대학교,숭의여자대학교,숭의여자대학교 _ 본교,숭의여자대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,서울,서울,3360,3312,1,1,7467970550,7467970550,7467970550,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000501,신구대학교,신구대학교,신구대학교 _ 본교,신구대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,8097,8027,1,1,2150788903,2150788903,2150788903,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000502,신성대학교,신성대학교,신성대학교 _ 본교,신성대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,충남,충남,3546,3359,1,1,1429644823,1429644823,1429644823,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000503,신흥대학교,신흥대학교,신흥대학교 _ 본교,신흥대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0000506,신안산대학교,신안산대학교,신안산대학교 _ 본교,신안산대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,3367,2786,1,1,1849240481,1849240481,1849240481,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000507,안산대학교,안산대학교,안산대학교 _ 본교,안산대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,5450,5637,1,1,2435201764,2435201764,2435201764,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000509,동원과학기술대학교,동원과학기술대학교,동원과학기술대학교 _ 본교,동원과학기술대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,2894,2801,1,1,7197368383,7197368383,7197368383,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000510,여주대학교,여주대학교,여주대학교 _ 본교,여주대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,5051,4093,1,1,2870859563,2870859563,2870859563,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000512,연암대학교,연암대학교,연암대학교 _ 본교,연암대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,충남,충남,1588,1552,1,1,9599737167,9599737167,9599737167,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000513,영남이공대학교,영남이공대학교,영남이공대학교 _ 본교,영남이공대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,대구,대구,8108,7982,1,1,9018763184,9018763184,9018763184,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000514,강릉영동대학교,강릉영동대학교,강릉영동대학교 _ 본교,강릉영동대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,3953,4271,1,1,6458310902,6458310902,6458310902,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000515,세경대학교,세경대학교,세경대학교 _ 본교,세경대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,1067,921,1,1,9188678979,9188678979,9188678979,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000517,영진전문대학교,영진전문대학교,영진전문대학교 _ 본교,영진전문대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,대구,대구,10094,9595,1,1,4038041055,4038041055,4038041055,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000520,용인예술과학대학교,용인예술과학대학교,용인예술과학대학교 _ 본교,용인예술과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,3809,3456,1,1,2655661106,2655661106,2655661106,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000521,울산과학대학교,울산과학대학교,울산과학대학교 _ 본교,울산과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,울산,울산,7520,7268,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000522,한국영상대학교,한국영상대학교,한국영상대학교 _ 본교,한국영상대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,세종,세종,4073,4090,1,1,8441023945,8441023945,8441023945,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000523,원광보건대학교,원광보건대학교,원광보건대학교 _ 본교,원광보건대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전북,전북,5584,5323,1,1,3259533643,3259533643,3259533643,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000524,유한대학교,유한대학교,유한대학교 _ 본교,유한대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,7237,6896,1,1,3878318190,3878318190,3878318190,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000525,인덕대학교,인덕대학교,인덕대학교 _ 본교,인덕대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,서울,서울,8375,8163,1,1,3622565805,3622565805,3622565805,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000527,장안대학교,장안대학교,장안대학교 _ 본교,장안대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,3654,2790,1,1,3138893783,3138893783,3138893783,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000528,적십자간호대학,적십자간호대학,적십자간호대학 _ 본교,적십자간호대학 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,서울,서울,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0000529,전남과학대학교,전남과학대학교,전남과학대학교 _ 본교,전남과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전남광주,전남광주,3612,3374,1,1,2751910030,2751910030,2751910030,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000530,전주비전대학교,전주비전대학교,전주비전대학교 _ 본교,전주비전대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전북,전북,4195,3965,1,1,7344014406,7344014406,7344014406,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000531,전북과학대학교,전북과학대학교,전북과학대학교 _ 본교,전북과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전북,전북,1726,1727,1,1,3463636338,3463636338,3463636338,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000532,제주관광대학교,제주관광대학교,제주관광대학교 _ 본교,제주관광대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,제주,제주,2089,1953,1,1,2854465365,2854465365,2854465365,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000533,제주산업정보대학,제주산업정보대학,제주산업정보대학 _ 본교,제주산업정보대학 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,제주,제주,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0000534,조선이공대학교,조선이공대학교,조선이공대학교 _ 본교,조선이공대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전남광주,전남광주,4725,4379,1,1,9725471615,9725471615,9725471615,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000536,충북보건과학대학교,충북보건과학대학교,충북보건과학대학교 _ 본교,충북보건과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,충북,충북,2917,2785,1,1,2954328298,2954328298,2954328298,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000539,진주보건대학교,진주보건대학교,진주보건대학교 _ 본교,진주보건대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,2841,2723,1,1,2344360709,2344360709,2344360709,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000541,창신대학,창신대학,창신대학 _ 본교,창신대학 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0000542,창원문성대학교,창원문성대학교,창원문성대학교 _ 본교,창원문성대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,1877,1182,1,1,4433675467,4433675467,4433675467,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000543,백석문화대학교,백석문화대학교,백석문화대학교 _ 본교,백석문화대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,충남,충남,5775,5077,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000544,청강문화산업대학교,청강문화산업대학교,청강문화산업대학교 _ 본교,청강문화산업대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,5116,5100,1,1,5157359063,5157359063,5157359063,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000545,춘해보건대학교,춘해보건대학교,춘해보건대학교 _ 본교,춘해보건대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,울산,울산,2958,2983,1,1,7660992503,7660992503,7660992503,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000546,대덕대학교,대덕대학교,대덕대학교 _ 본교,대덕대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,대전,대전,2581,2328,1,1,8037726461,8037726461,8037726461,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000547,충청대학교,충청대학교,충청대학교 _ 본교,충청대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,충북,충북,4273,4088,1,1,5182121753,5182121753,5182121753,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000548,강원관광대학교,강원관광대학교,강원관광대학교 _ 본교,강원관광대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,469,,1,0,7112644374,,,,unresolved_missing_two_year_numeric_enrollment
0000549,국제대학교,국제대학교,국제대학교 _ 본교,국제대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,3584,3219,1,1,2667451024,2667451024,2667451024,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000550,선린대학교,선린대학교,선린대학교 _ 본교,선린대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경북,경북,2483,2399,1,1,4651407539,4651407539,4651407539,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000553,한림성심대학교,한림성심대학교,한림성심대학교 _ 본교,한림성심대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,3709,3422,1,1,2969926416,2969926416,2969926416,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000554,한양여자대학교,한양여자대학교,한양여자대학교 _ 본교,한양여자대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,서울,서울,7780,7538,1,1,2735845208,2735845208,2735845208,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000555,한영대학교,한영대학교,한영대학교 _ 본교,한영대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전남광주,전남광주,1888,1811,1,1,6208432018,6208432018,6208432018,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000556,혜전대학교,혜전대학교,혜전대학교 _ 본교,혜전대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,충남,충남,3287,3300,1,1,4234214067,4234214067,4234214067,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000560,경기과학기술대학교,경기과학기술대학교,경기과학기술대학교 _ 본교,경기과학기술대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,6989,6671,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000561,부산예술대학교,부산예술대학교,부산예술대학교 _ 본교,부산예술대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,부산,부산,727,741,1,1,6542043566,6542043566,6542043566,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000562,전남도립대학교,전남도립대학교,전남도립대학교 _ 본교,전남도립대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전남광주,전남광주,1255,1067,1,1,7043987333,7043987333,7043987333,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000564,송호대학교,송호대학교,송호대학교 _ 본교,송호대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,951,987,1,1,3215096950,3215096950,3215096950,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000565,한국관광대학교,한국관광대학교,한국관광대학교 _ 본교,한국관광대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,1946,1754,1,1,9858445346,9858445346,9858445346,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000566,서정대학교,서정대학교,서정대학교 _ 본교,서정대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,9718,10849,1,1,3895868420,3895868420,3895868420,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000567,송곡대학교,송곡대학교,송곡대학교 _ 본교,송곡대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,950,959,1,1,8568694412,8568694412,8568694412,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
