source,domn_code,dataset,advertised_years,status,archive_count,size_bytes,errors
고등교육통계,11792,시간강사인원현황,2014~2022,downloaded,1,524960,
고등교육통계,11832,전임교원출신현황,2009~2013,downloaded,1,24537,
고등교육통계,11833,전임교원출신현황,2014~2025,downloaded,1,4082609,
고등교육통계,11837,외국인전임교원현황_전공계열별,2009~2013,downloaded,1,1109143,
고등교육통계,17032,외국인전임교원현황_국가별,2009~2013,downloaded,1,747283,
고등교육통계,11843,외국인비전임교원현황_전공계열별,2009~2013,downloaded,1,4241521,
고등교육통계,17033,외국인비전임교원현황_국가별,2009~2013,downloaded,1,6153087,
고등교육통계,11850,교원주당수업시수현황_과목및시간,2009~2013,downloaded,1,500083,
고등교육통계,11851,교원주당수업시수현황_과목및시간,2014~2022,downloaded,1,3066328,
고등교육통계,17034,교원주당수업시수현황_인원,2009~2013,downloaded,1,491167,
고등교육통계,17020,교원주당수업시수현황_인원,2014~2022,downloaded,1,1339993,
고등교육통계,17035,교원급여및수업시수현황,2009~2014,downloaded,1,121399,
고등교육통계,11916,교원현황_대학원대학,2014~2022,downloaded,1,4961,
고등교육통계,17036,교원현황_일반대학,2014~2022,downloaded,1,59495,
고등교육통계,17037,교원현황_산업대학,2014~2022,downloaded,1,1207,
고등교육통계,17038,교원현황_전문대_위탁생미포함,2009~2013,downloaded,1,80607,
고등교육통계,17021,교원현황_전문대_위탁생미포함,2014~2016,downloaded,1,16549,
고등교육통계,17039,교원현황_전문대_위탁생포함,2009~2013,downloaded,1,82159,
고등교육통계,17022,교원현황_전문대_위탁생포함,2014~2024,downloaded,1,74088,
고등교육통계,17040,교원현황_전문대_학과별,2009~2022,downloaded,1,898443,
고등교육통계,17041,교수교육훈련현황,2009~2013,downloaded,1,9282,
고등교육통계,17023,교수교육훈련현황,2014~2022,downloaded,1,67469,
고등교육통계,17042,교원자격증발급현황,2015~2025,downloaded,1,23226,
고등교육통계,17043,국립대학배정정원및채용현황,2009~2022,downloaded,1,18390,
고등교육통계,17044,직원연수및교육훈련실적_교원제외,2009~2013,downloaded,1,10519,
고등교육통계,17045,전임교원재임용현황,2009~2012,downloaded,1,5248,
고등교육통계,17046,전임교원승진현황,2009~2012,downloaded,1,5616,
고등교육통계,17047,교직원연수현황,2009~2015,downloaded,1,161028,
고등교육통계,17048,전임교원임면현황,2009~2012,downloaded,1,82282,
고등교육통계,17049,개설교과현황,2009~2013,downloaded,1,295573,
고등교육통계,17058,개설교과현황,2014~2022,downloaded,1,659471,
고등교육통계,17050,교양강좌개설및수강현황,2009~2013,downloaded,1,211665,
고등교육통계,17059,교양강좌개설및수강현황,2014~2025,downloaded,1,544250,
고등교육통계,17051,대학전공강좌개설및수강현황,2009~2013,downloaded,1,743035,
고등교육통계,17060,대학전공강좌개설및수강현황,2014~2025,downloaded,1,3993272,
고등교육통계,17052,사이버강좌개설및수강현황,2009~2013,downloaded,1,15574,
고등교육통계,17061,사이버강좌개설및수강현황,2014~2025,downloaded,1,66221,
고등교육통계,17053,사이버강좌개설및수강현황_전문대학,2009~2013,downloaded,1,4511,
고등교육통계,17062,사이버강좌개설및수강현황_전문대학,2014~2022,downloaded,1,25446,
고등교육통계,17054,산학연교류현황,2009~2014,downloaded,1,38832,
고등교육통계,17055,학점교류현황,2009~2023,downloaded,1,278767,
고등교육통계,17057,교직강좌개설및수강현황,2009~2013,downloaded,1,65672,
고등교육통계,12063,동아리활동현황,2009~2013,downloaded,1,98402,
고등교육통계,12070,학생회현황,2009~2013,downloaded,1,11071,
고등교육통계,12071,학생회현황,2014,downloaded,1,2891,
고등교육통계,12085,계열별부속시설현황_건물시설,2009~2013,downloaded,1,86789,
고등교육통계,12086,계열별부속시설현황_건물시설,2014,downloaded,1,29786,
고등교육통계,12079,계열별부속시설현황_지적시설,2009~2013,downloaded,1,263664,
고등교육통계,12091,구조별건물면적정보,2009~2013,downloaded,1,1080938,
고등교육통계,12074,대학부설평생교육원기관현황,2009~2013,downloaded,1,12149,
고등교육통계,12126,산학협동현황_인적교류,2009~2015,downloaded,1,26629,
고등교육통계,12136,산학연관협동실적,2009~2015,downloaded,1,17725,
고등교육통계,12103,산학협동현황,2009~2015,downloaded,1,28804,
고등교육통계,12118,산학협동현황_현장실습및취업,2009~2015,downloaded,1,26476,
대학정보공시,12176,교양과목성적평가분포,2009~2025,downloaded,1,857106,
대학정보공시,17111,교직과목성적평가분포,2009~2025,downloaded,1,508642,
대학정보공시,12166,전공과목성적평가분포,2009~2025,downloaded,1,4007788,
대학정보공시,12182,졸업생졸업성적분포,2010~2023,downloaded,1,18837518,
대학정보공시,17117,대학입학전형기본계획,2009~2012,downloaded,1,861470,
대학정보공시,17118,대학입학전형기본계획_전문대학,2009~2012,downloaded,1,149591,
대학정보공시,17119,대학입학전형시행계획,2009~2012,downloaded,1,175094,
대학정보공시,17120,대학입학전형시행계획_전문대학,2009~2012,downloaded,1,84770,
대학정보공시,17121,모집단위별모집인원현황,2009~2012,downloaded,1,671398,
대학정보공시,17122,모집단위별모집인원현황_전문대학,2009~2012,downloaded,1,669847,
대학정보공시,17123,편입생모집내용,2009~2012,downloaded,1,313279,
대학정보공시,17126,입학전형유형별선발결과,2009~2025,downloaded,1,1141671,
대학정보공시,17133,입학전형유형별선발결과_전문대학,2009~2025,downloaded,1,224828,
대학정보공시,17127,기회균형선발결과,2009~2025,downloaded,1,83955,
대학정보공시,17128,기회균형선발결과상세,2009~2021,downloaded,1,31032,
대학정보공시,17129,신입생충원현황,2009~2025,downloaded,1,5832223,
대학정보공시,17134,신입생충원현황_대학원,2009~2025,downloaded,1,664808,
대학정보공시,17135,재학생충원현황,2009~2025,downloaded,1,520829,
