_panel_year,개방ID,_0101_exists,_0101_match_status,_review_status,_0101_source_row_count,_0101_branch_count,_0101_branch_names,_0101_province_count,_0101_provinces,_0101_region_count,_0101_regions,_0101_school_type_count,_0101_school_types,_0101_campus_scope,_source_dataset_count,_source_catalog_codes,_source_row_count
2009,1194502532,true,matched,not_required,1,1,본교,1,부산,1,부산 부산진구,1,대학원,single_campus,2,0101|0105,2
2009,1200696825,true,matched,not_required,1,1,본교,1,대전,1,대전 유성구,1,대학원대학,single_campus,6,0101|0105|0502|0503|0601|1014,112
2009,1206785976,true,matched,not_required,1,1,본교,1,서울,1,서울 서대문구,1,전문대학,single_campus,9,0101|0305|0310|0316|0601|0714|1014|1016|1207,1662
2009,1220647633,true,matched,not_required,1,1,본교,1,경기,1,경기 광주시,1,대학원,single_campus,2,0101|0105,2
2009,1222560584,true,matched,not_required,1,1,본교,1,경기,1,경기 용인시,1,대학원,single_campus,5,0101|0105|0502|0601|1014,10
2009,1225981473,true,matched,not_required,1,1,본교,1,서울,1,서울 구로구,1,대학원,single_campus,2,0101|0105,3
2009,1271168112,true,matched,not_required,1,1,본교,1,서울,1,서울 마포구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,11
2009,1273415803,true,matched,not_required,1,1,본교,1,경기,1,경기 용인시,1,대학원,single_campus,3,0101|0105|0502,4
2009,1282527804,true,matched,not_required,1,1,본교,1,충남,1,충남 천안시,1,대학,single_campus,12,0101|0103|0305|0310|0316|0502|0503|0601|0714|1014|1016|1207,181
2009,1291146814,true,matched,not_required,1,1,본교,1,서울,1,서울 중구,1,대학원,single_campus,3,0101|0105|0502,5
2009,1291285216,true,matched,not_required,1,1,본교,1,울산,1,울산 남구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,8
2009,1304687142,true,matched,not_required,1,1,본교,1,충남,1,충남 서산시,1,대학원,single_campus,3,0101|0105|0502,8
2009,1337810814,true,matched,not_required,1,1,본교,1,서울,1,서울 서대문구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,6
2009,1343200445,true,matched,not_required,1,1,본교,1,충북,1,충북 음성군,1,대학원,single_campus,2,0101|0105,5
2009,1346833765,true,matched,not_required,1,1,본교,1,전북,1,전북 완주군,1,대학원,single_campus,2,0101|0105,3
2009,1349926352,true,matched,not_required,1,1,본교,1,충북,1,충북 제천시,1,대학원,single_campus,2,0101|0105,2
2009,1350189208,true,matched,not_required,1,1,본교,1,충북,1,충북 청주시,1,대학원,single_campus,2,0101|0105,3
2009,1355671644,true,matched,not_required,1,1,본교,1,광주,1,광주 남구,1,대학,single_campus,8,0101|0103|0305|0310|0316|0503|0714|1016,1449
