province,parent_school_name,parent_resolution_method,graduate_school_identity_count,department_count,graduate_school_kinds,component_school_names
서울,국민대학교,longest_undergraduate_name_prefix,14,77,전문대학원|특수대학원,국민대학교 글로벌창업벤처대학원|국민대학교 소프트웨어융합대학원|국민대학교 자동차산업대학원|국민대학교경영대학원|국민대학교교육대학원|국민대학교디자인대학원|국민대학교법무대학원|국민대학교비즈니스IT전문대학원|국민대학교스포츠산업대학원|국민대학교자동차공학전문대학원|국민대학교정치대학원|국민대학교종합예술대학원|국민대학교테크노디자인전문대학원|국민대학교행정대학원
서울,국제영어대학원대학교,standalone_graduate_university,1,2,전문대학원,국제영어대학원대학교
서울,덕성여자대학교,longest_undergraduate_name_prefix,2,6,특수대학원,덕성여자대학교 교육대학원|덕성여자대학교 상담·산업대학원
서울,동국대학교,longest_undergraduate_name_prefix,12,43,전문대학원|특수대학원,동국대학교 경영대학원|동국대학교 경영전문대학원|동국대학교 경찰사법대학원|동국대학교 교육대학원|동국대학교 교육서비스과학대학원|동국대학교 국제정보보호대학원|동국대학교 문화예술대학원|동국대학교 법무대학원|동국대학교 불교대학원|동국대학교 언론정보대학원|동국대학교 영상대학원(전문)|동국대학교 행정대학원
서울,동덕여자대학교,longest_undergraduate_name_prefix,6,15,전문대학원|특수대학원,동덕여자대학교 공연예술대학원|동덕여자대학교 교육대학원|동덕여자대학교 문화 예술치료대학원|동덕여자대학교 미래전략융합대학원|동덕여자대학교 보건과학대학원|동덕여자대학교 패션전문대학원
서울,동방문화대학원대학교,standalone_graduate_university,1,5,전문대학원,동방문화대학원대학교
서울,명지대학교,longest_undergraduate_name_prefix,8,35,전문대학원|특수대학원,명지대학교 경영대학원|명지대학교 교육대학원|명지대학교 기록정보과학전문대학원|명지대학교 문화예술대학원|명지대학교 부동산대학원|명지대학교 사회교육대학원|명지대학교 사회복지대학원|명지대학교 통합치료대학원
서울,백석대학교,longest_undergraduate_name_prefix,7,36,전문대학원|특수대학원,백석대학교 교육대학원|백석대학교 기독교전문대학원|백석대학교 문화예술대학원|백석대학교 보건복지대학원|백석대학교 상담대학원|백석대학교 신학대학원|백석대학교 실천신학대학원
서울,베뢰아국제대학원대학교,standalone_graduate_university,1,1,전문대학원,베뢰아국제대학원대학교
서울,북한대학원대학교,standalone_graduate_university,1,1,전문대학원,북한대학원대학교
서울,사이버한국외국어대학교,longest_undergraduate_name_prefix,1,1,특수대학원,사이버한국외국어대학교 TESOL 대학원
서울,삼육대학교,longest_undergraduate_name_prefix,3,3,특수대학원,삼육대학교 신학대학원|삼육대학교 임상간호대학원|삼육대학교경영대학원
서울,상명대학교,longest_undergraduate_name_prefix,6,18,특수대학원,상명대학교 경영대학원|상명대학교 교육대학원|상명대학교 문화기술대학원|상명대학교 복지상담대학원|상명대학교 상담대학원|상명대학교 예술디자인대학원
서울,서강대학교,longest_undergraduate_name_prefix,11,58,전문대학원|특수대학원,서강대학교 경영전문대학원|서강대학교 경제대학원|서강대학교 공공정책대학원|서강대학교 기술경영전문대학원|서강대학교 법학전문대학원|서강대학교 신학대학원|서강대학교교육대학원|서강대학교국제대학원|서강대학교언론대학원|서강대학교영상대학원|서강대학교정보통신대학원
서울,서경대학교,longest_undergraduate_name_prefix,3,5,특수대학원,서경대학교 경영문화대학원|서경대학교 미용예술대학원|서경대학교 실용음악대학원
서울,서울과학기술대학교,longest_undergraduate_name_prefix,6,36,전문대학원|특수대학원,서울과학기술대학교 IT정책전문대학원|서울과학기술대학교 나노IT디자인융합대학원|서울과학기술대학교 산업대학원|서울과학기술대학교 융합과학대학원|서울과학기술대학교 주택도시대학원|서울과학기술대학교 철도전문대학원
서울,서울과학종합대학원대학교,standalone_graduate_university,1,1,전문대학원,서울과학종합대학원대학교
서울,서울교육대학교,longest_undergraduate_name_prefix,2,39,전문대학원|특수대학원,서울교육대학교 교육대학원|서울교육대학교 교육전문대학원
서울,서울기독대학교,longest_undergraduate_name_prefix,4,4,특수대학원,서울기독대학교 문화산업경영대학원|서울기독대학교 연합신학대학원|서울기독대학교사회복지대학원|서울기독대학교치유상담대학원
서울,서울대학교,longest_undergraduate_name_prefix,11,25,전문대학원,서울대학교 경영전문대학원|서울대학교 공학전문대학원|서울대학교 국제대학원|서울대학교 데이터사이언스대학원|서울대학교 법학전문대학원|서울대학교 보건대학원|서울대학교 융합과학기술대학원|서울대학교 의학대학원|서울대학교 치의학대학원|서울대학교 행정대학원|서울대학교 환경대학원
서울,서울미디어대학원대학교,standalone_graduate_university,1,5,특수대학원,서울미디어대학원대학교
서울,서울벤처대학원대학교,standalone_graduate_university,1,3,전문대학원,서울벤처대학원대학교
서울,서울불교대학원대학교,standalone_graduate_university,1,3,전문대학원,서울불교대학원대학교
서울,서울사이버대학교,longest_undergraduate_name_prefix,2,2,특수대학원,서울사이버대학교 상담심리대학원|서울사이버대학교 휴먼서비스대학원
서울,서울사회복지대학원대학교,standalone_graduate_university,1,1,특수대학원,서울사회복지대학원대학교
서울,서울상담심리대학원대학교,standalone_graduate_university,1,1,전문대학원,서울상담심리대학원대학교
서울,서울성경신학대학원대학교,standalone_graduate_university,1,3,전문대학원,서울성경신학대학원대학교
서울,서울시립대학교,longest_undergraduate_name_prefix,9,39,전문대학원|특수대학원,서울시립대학교 경영대학원|서울시립대학교 과학기술대학원|서울시립대학교 교육대학원|서울시립대학교 국제도시과학대학원|서울시립대학교 도시과학대학원|서울시립대학교 도시보건대학원|서울시립대학교 디자인전문대학원|서울시립대학교 법학전문대학원|서울시립대학교 세무전문대학원
서울,서울여자대학교,longest_undergraduate_name_prefix,4,7,전문대학원|특수대학원,서울여자대학교 교육대학원|서울여자대학교 사회복지·기독교대학원|서울여자대학교 특수치료전문대학원|서울여자대학교 휴먼서비스대학원
서울,서울외국어대학원대학교,standalone_graduate_university,1,3,전문대학원,서울외국어대학원대학교
서울,서울한영대학교,longest_undergraduate_name_prefix,2,7,특수대학원,서울한영대학교 국제신학선교대학원|서울한영대학교 상담복지대학원
